# center mu_1 mu_2 mu_3 mu_4 mu_5
2.296639826096889825e-01 -4.069352124571629759e+00 -4.074265482311712816e+00 -4.028495248070823820e+00 -4.055350169707003793e+00 -3.968549672357442937e+00
2.476663408237430863e-01 -4.069325470644614029e+00 -4.074232870974498155e+00 -4.028444270408384931e+00 -4.055436430021051031e+00 -3.968541284300426852e+00
2.656671276624692490e-01 -4.069218170086458919e+00 -4.074071197172825620e+00 -4.028240056213313380e+00 -4.055341754649512076e+00 -3.968378910505703683e+00
2.836668779089373538e-01 -4.068723439944958109e+00 -4.073603225882431289e+00 -4.027834201999191066e+00 -4.054875953157493385e+00 -3.967961520571304135e+00
3.016843534879367072e-01 -4.069197339490508547e+00 -4.074070464129809110e+00 -4.028241755816783787e+00 -4.055342862403253257e+00 -3.968413026570596802e+00
3.196990798714391402e-01 -4.069589501119128983e+00 -4.074502384072536287e+00 -4.028787566023314781e+00 -4.055783977882175151e+00 -3.968960255947112881e+00
3.377101258502195891e-01 -4.069656326059064355e+00 -4.074508308774856147e+00 -4.028707845774031959e+00 -4.055789686006964878e+00 -3.968918685108405064e+00
3.556921863772117831e-01 -4.070086586220196700e+00 -4.074910861490804947e+00 -4.029082213351919961e+00 -4.056213779797054109e+00 -3.969323104392824320e+00
3.736721898144134690e-01 -4.069885403961849057e+00 -4.074770216446179205e+00 -4.029011816359418852e+00 -4.056088480903429883e+00 -3.969184115459288176e+00
3.916268706449938519e-01 -4.069875809748319639e+00 -4.074792699915617433e+00 -4.029046135372522208e+00 -4.055933503423018394e+00 -3.969024322632697555e+00
4.095776725885569847e-01 -4.069895457116679438e+00 -4.074815733495627867e+00 -4.029030103129444207e+00 -4.055938709990334345e+00 -3.968959902824400032e+00
4.275214618831215119e-01 -4.070350490983596359e+00 -4.075241461386431396e+00 -4.029454778639839141e+00 -4.056421734401729928e+00 -3.969478856574031322e+00
4.454485158214324669e-01 -4.070219529784674606e+00 -4.075095561361905538e+00 -4.029273318134552362e+00 -4.056318146615119247e+00 -3.969331768862072174e+00
4.633840054732983327e-01 -4.070360434136842009e+00 -4.075181139492256577e+00 -4.029371110569461401e+00 -4.056487339725077135e+00 -3.969563483627968736e+00
4.813165173758255921e-01 -4.070311759280220265e+00 -4.075142604913033040e+00 -4.029202522826893507e+00 -4.056279551459152088e+00 -3.969251670712196312e+00
4.992450917179976355e-01 -4.069352941855667538e+00 -4.074197148131585067e+00 -4.028206353783640559e+00 -4.055164325287806015e+00 -3.968191527405047658e+00
5.172059143768410472e-01 -4.068955028409761532e+00 -4.073830576360251143e+00 -4.027832665340877583e+00 -4.054676211173405598e+00 -3.967759171319568789e+00
5.351599620438524108e-01 -4.069875599628368867e+00 -4.074632707260827047e+00 -4.028583754890608049e+00 -4.055621823549433458e+00 -3.968673152400916226e+00
5.531180182480374130e-01 -4.069311096462013388e+00 -4.074103877388568051e+00 -4.027991116468276012e+00 -4.054959066399477230e+00 -3.967974253453613986e+00
5.710991166675140063e-01 -4.068900946750405367e+00 -4.073726781130526220e+00 -4.027612273803141463e+00 -4.054490415330135988e+00 -3.967538234726604163e+00
5.891115422453210293e-01 -4.069338526512895626e+00 -4.074211454880728667e+00 -4.028116529388928946e+00 -4.054923703604788265e+00 -3.967993707094215505e+00
6.071241374120992518e-01 -4.069383402727924981e+00 -4.074274467173022884e+00 -4.028151017860101213e+00 -4.054830982468366152e+00 -3.967899208802458055e+00
6.251311316489208680e-01 -4.069829428708200858e+00 -4.074821200698218959e+00 -4.028725571463517063e+00 -4.055203935731787723e+00 -3.968226198763868950e+00
6.431288697374261121e-01 -4.069878666485591268e+00 -4.074778380033997394e+00 -4.028682216287990947e+00 -4.055239143463185592e+00 -3.968198551262264839e+00
6.611144427869659612e-01 -4.069837081993582295e+00 -4.074800533191528018e+00 -4.028745330358606047e+00 -4.055230257074412314e+00 -3.968166244070209903e+00
6.790935606548798020e-01 -4.069813020642119028e+00 -4.074851503375635176e+00 -4.028847122194257224e+00 -4.055125882607657495e+00 -3.968159361958813580e+00
6.970822971730191719e-01 -4.069741073782834562e+00 -4.074832832013798978e+00 -4.028945698183923341e+00 -4.055101777277704045e+00 -3.968236036158399926e+00
7.150693472882710955e-01 -4.070131431482844953e+00 -4.075327807227788313e+00 -4.029581696586310713e+00 -4.055438768053734933e+00 -3.968711416510823042e+00
7.330406430588141120e-01 -4.070152450878719463e+00 -4.075314969508093910e+00 -4.029537075090879661e+00 -4.055466387279833995e+00 -3.968711004597126557e+00
7.510172051957740846e-01 -4.069116748296978336e+00 -4.074169756642701756e+00 -4.028374751716434332e+00 -4.054498768191869829e+00 -3.967702628216355443e+00
7.690037629504442585e-01 -4.068873791144012486e+00 -4.073967374962503385e+00 -4.028240396037994664e+00 -4.054260806727147504e+00 -3.967591955381719160e+00
7.869747249957644852e-01 -4.068184021845409504e+00 -4.073379691897301313e+00 -4.027745284290460859e+00 -4.053594414382271083e+00 -3.967052572829935730e+00
8.049491072112077150e-01 -4.068145776786584733e+00 -4.073403110165301655e+00 -4.027710838900369517e+00 -4.053506429946672540e+00 -3.966831859089350321e+00
8.229169018046240680e-01 -4.069031078074917929e+00 -4.074283641253785504e+00 -4.028563972603647514e+00 -4.054351524851814936e+00 -3.967692960702293714e+00
8.408925382094242229e-01 -4.069822864714812916e+00 -4.075162815571150787e+00 -4.029526234579854815e+00 -4.055199459169247511e+00 -3.968553346979038388e+00
8.588673608150113603e-01 -4.069823362618716800e+00 -4.075160513324290079e+00 -4.029525588815750403e+00 -4.055224432518809152e+00 -3.968518311269443988e+00
8.768286251620283078e-01 -4.069855465937818551e+00 -4.075195151559938722e+00 -4.029522568946120487e+00 -4.055154103191016546e+00 -3.968501678943844979e+00
8.947893142597144189e-01 -4.070283097890807333e+00 -4.075593035083624471e+00 -4.029848398730150549e+00 -4.055625160071741675e+00 -3.968901685034917470e+00
9.127474816035848759e-01 -4.069436863600392584e+00 -4.074776352672840218e+00 -4.028967231128242510e+00 -4.054719645200155931e+00 -3.967980396676267230e+00
9.307276376674127327e-01 -4.069522080638344086e+00 -4.074815962167264161e+00 -4.028866013096734200e+00 -4.054753849396038667e+00 -3.967851895357433545e+00
9.487053980029815925e-01 -4.069738917657826249e+00 -4.075001933532709231e+00 -4.029010615930773476e+00 -4.055004485393918223e+00 -3.968062989535584340e+00
9.666961305628906098e-01 -4.070715542256256647e+00 -4.076100180352048241e+00 -4.030156353986084738e+00 -4.055912048401095760e+00 -3.968961912199378883e+00
9.846780812543578509e-01 -4.070640484368267309e+00 -4.076101268705109248e+00 -4.030267797308709099e+00 -4.055847492462100412e+00 -3.969012437972518903e+00
1.002660689492053114e+00 -4.070984064887401388e+00 -4.076458194462517781e+00 -4.030763012106502785e+00 -4.056241323780509944e+00 -3.969454200550777578e+00
1.020635749510852897e+00 -4.072063410814722673e+00 -4.077478715009524635e+00 -4.031805484571724385e+00 -4.057323852584007184e+00 -3.970617083662317359e+00
1.038613677342506536e+00 -4.071443191955724572e+00 -4.076860156915426359e+00 -4.031210501421327308e+00 -4.056691955649563752e+00 -3.970033380762133746e+00
1.056592121260607087e+00 -4.071166861207180077e+00 -4.076645403085073838e+00 -4.031052004602591055e+00 -4.056338619912950527e+00 -3.969743919571589785e+00
1.074563624202153456e+00 -4.072070345561825455e+00 -4.077545751062036317e+00 -4.031859688543974585e+00 -4.057237264882527228e+00 -3.970541032033897633e+00
1.092551978325725370e+00 -4.072489683531363092e+00 -4.078053576596390783e+00 -4.032426654102539310e+00 -4.057571680837963157e+00 -3.970977509574767250e+00
1.110542425548346923e+00 -4.072661928648249052e+00 -4.078270044020207763e+00 -4.032737291688149206e+00 -4.057816769720652417e+00 -3.971312784066594492e+00
1.128531338395842853e+00 -4.072242992838702058e+00 -4.077869184736872654e+00 -4.032286403401288410e+00 -4.057319554022199348e+00 -3.970764131242137118e+00
1.146506250268868099e+00 -4.071804822620336495e+00 -4.077402216922678235e+00 -4.031895346059856777e+00 -4.056972627426415734e+00 -3.970445708199946910e+00
1.164470508496384005e+00 -4.072233954492767261e+00 -4.077864964319537933e+00 -4.032356761134390233e+00 -4.057429640483174005e+00 -3.970920144118054829e+00
1.182435976261744681e+00 -4.071969883972443860e+00 -4.077558045197422487e+00 -4.032101093176699180e+00 -4.057188342661371294e+00 -3.970772970452366657e+00
1.200422657710476182e+00 -4.072134168274763155e+00 -4.077767516598836295e+00 -4.032323628095249468e+00 -4.057410308164183910e+00 -3.970973713742155908e+00
1.218420922372821513e+00 -4.072080749319015425e+00 -4.077722501603767924e+00 -4.032272644592059585e+00 -4.057325573258042439e+00 -3.970933633520029371e+00
1.236437192906990168e+00 -4.072495016960176351e+00 -4.078152543912048955e+00 -4.032665982295282170e+00 -4.057718781356742355e+00 -3.971273399292945872e+00
1.254479610246558741e+00 -4.073537449135775645e+00 -4.079197619727095159e+00 -4.033634218625670620e+00 -4.058739658471181677e+00 -3.972257291393496370e+00
1.272539019513961422e+00 -4.073477612708828133e+00 -4.079093968511823931e+00 -4.033568640705363251e+00 -4.058719431815998924e+00 -3.972233880932242833e+00
1.290613923201773927e+00 -4.073475469809284988e+00 -4.079145761783870228e+00 -4.033579874527620568e+00 -4.058723153264131689e+00 -3.972133993274041597e+00
1.308682199804003021e+00 -4.073904680463468431e+00 -4.079652424211239747e+00 -4.034106335739362947e+00 -4.059115394435512059e+00 -3.972525907575135573e+00
1.326741147866894677e+00 -4.073359621719787604e+00 -4.079058852872515573e+00 -4.033434990435032397e+00 -4.058480282121361249e+00 -3.971916258618543694e+00
1.344836336698755019e+00 -4.073386386323696762e+00 -4.079059742475431349e+00 -4.033384412027228194e+00 -4.058502563989606848e+00 -3.971939221539239284e+00
1.362941730656234363e+00 -4.073402621742268082e+00 -4.079066841962550427e+00 -4.033453169577284392e+00 -4.058582954306989343e+00 -3.972066719557815428e+00
1.381101963006654998e+00 -4.073455295275221211e+00 -4.079017198240533659e+00 -4.033397871253241007e+00 -4.058602410455621090e+00 -3.972135910420448113e+00
1.399243450628619101e+00 -4.072518659823852083e+00 -4.078009342138726012e+00 -4.032311793310880077e+00 -4.057622497989170185e+00 -3.971077187613911263e+00
